status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
171955186207193_1219841341418567,,Timeline Photos,photo,https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1219841341418567/?type=3,https://www.facebook.com/Intelvision/posts/1219841341418567:0,2017-03-15 03:05:44,63,1,1,63,0,0,0,0,0
171955186207193_1219790974756937,Europa league last 16 2nd leg Manchester United vs FC Rostov Thursday 16 March @ 23:55 on Intv Sports 7,Timeline Photos,photo,https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1219790974756937/?type=3,https://www.facebook.com/Intelvision/posts/1219790974756937:0,2017-03-15 01:12:17,25,0,0,24,1,0,0,0,0
171955186207193_1219283881474313,,Timeline Photos,photo,https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1219283881474313/?type=3,https://www.facebook.com/Intelvision/posts/1219283881474313:0,2017-03-14 08:47:36,16,0,0,16,0,0,0,0,0
171955186207193_1219276911475010,"Dear customers, 
Please be advise that we are experiencing signal outages affecting the following areas: Pointe Aux Sel, Part of Aux Cap, Part of Anse Royale & Fairyland,  Le Relax. Our engineers are already on site working to resolve to problem. We our apologise for the inconvenience that this may cause & thank you for understanding.",,status,,https://www.facebook.com/Intelvision/posts/1219276911475010,2017-03-14 08:36:42,18,0,0,18,0,0,0,0,0
171955186207193_1219022501500451,,Intelvision's cover photo,photo,https://www.facebook.com/Intelvision/photos/a.278508528885191.59135.171955186207193/1219022134833821/?type=3,https://www.facebook.com/Intelvision/posts/1219022501500451,2017-03-14 00:00:30,79,0,0,79,0,0,0,0,0
171955186207193_1219021531500548,Participate in Intelvision's ZAP CHALLENGE and WIN AMAZING PRIZES! Get your daily code below! Watch out for our next code tomorrow on our cover page.,Timeline Photos,photo,https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1219021531500548/?type=3,https://www.facebook.com/Intelvision/posts/1219021531500548:0,2017-03-13 23:59:39,81,0,1,81,0,0,0,0,0
171955186207193_1215555015180533,,Timeline Photos,photo,https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1215555015180533/?type=3,https://www.facebook.com/Intelvision/posts/1215555015180533:0,2017-03-10 11:24:34,18,1,0,18,0,0,0,0,0
171955186207193_1215468361855865,Congratulation to Zacharais! Thank you for your Support!,Timeline Photos,photo,https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1215468361855865/?type=3,https://www.facebook.com/Intelvision/posts/1215468361855865:0,2017-03-10 09:39:01,30,0,0,30,0,0,0,0,0
171955186207193_1215398141862887,,Timeline Photos,photo,https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1215398141862887/?type=3,https://www.facebook.com/Intelvision/posts/1215398141862887:0,2017-03-10 08:02:12,21,0,0,21,0,0,0,0,0
171955186207193_1215135721889129,,Timeline Photos,photo,https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1215135721889129/?type=3,https://www.facebook.com/Intelvision/posts/1215135721889129:0,2017-03-10 02:00:34,17,2,0,16,1,0,0,0,0
