status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
171955186207193_1064567670279269,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1064567670279269/?type=3',b'https://www.facebook.com/Intelvision/posts/1064567670279269:0',2016-09-27 08:31:06,14,0,1,14,0,0,0,0,0
171955186207193_1064489596953743,"b""America's favorite criminal is back. The Blacklist returns Saturday 1st Oct on OSN First 10:00PM.""",b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1064489596953743/?type=3',b'https://www.facebook.com/Intelvision/posts/1064489596953743:0',2016-09-27 06:40:30,119,1,2,117,2,0,0,0,0
171955186207193_1064404216962281,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1064404216962281/?type=3',b'https://www.facebook.com/Intelvision/posts/1064404216962281:0',2016-09-27 03:52:16,40,2,0,39,0,1,0,0,0
171955186207193_1064404056962297,"b'Dear customers,\nDue to Signal interruption during the live coverage of the National Assembly, we will be rebroadcasting it tonight 6:30pm on INTV 1.'",,status,,b'https://www.facebook.com/Intelvision/posts/1064404056962297',2016-09-27 03:51:05,6,0,0,6,0,0,0,0,0
171955186207193_1064333520302684,b'Dear Customers Please note there is a Power Cut from PUC that is affecting our services in La Gogue Maldives and the Glacis Area. Service will resume when PUC has resolved the issue.',,status,,b'https://www.facebook.com/Intelvision/posts/1064333520302684',2016-09-27 01:08:49,3,0,0,3,0,0,0,0,0
171955186207193_1064330026969700,"b'Dear Customers, There is a fibre cut on our Petit Paris Node that is affecting Areas Up to Anse Boileau, please bear with us our technicians are working on having the service back up ASAP.'",,status,,b'https://www.facebook.com/Intelvision/posts/1064330026969700',2016-09-27 01:07:09,4,0,0,4,0,0,0,0,0
171955186207193_1063763993692970,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1063763993692970/?type=3',b'https://www.facebook.com/Intelvision/posts/1063763993692970:0',2016-09-26 07:41:32,55,2,0,55,0,0,0,0,0
171955186207193_1063647893704580,b'Get ready to scream every Wednesday Night 11PM!  The scream Queens are back for a Second season on Fox Entertainment.',b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1063647893704580/?type=3',b'https://www.facebook.com/Intelvision/posts/1063647893704580:0',2016-09-26 04:02:41,94,0,1,94,0,0,0,0,0
171955186207193_1063644910371545,b'Catch Season 3 of Empire every Thursday 11:00PM on Fox Entertainment.',b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1063644910371545/?type=3',b'https://www.facebook.com/Intelvision/posts/1063644910371545:0',2016-09-26 03:50:48,336,0,7,329,7,0,0,0,0
171955186207193_1063625097040193,"b""You'll be entering Westworld for the first time at 11pm Tuesday 4th October on Sky Atlantic.""",,video,b'https://www.facebook.com/Intelvision/videos/1063625097040193/',b'https://www.facebook.com/Intelvision/videos/1063625097040193/',2016-09-26 03:16:27,5,0,0,5,0,0,0,0,0
