yacht_name,yacht_url,yacht_builder,yacht_length,yacht_date,yacht_tspeed,yacht_cspeed,yacht_range,yacht_beam,yacht_guests,yacht_crew
Christina O,http://www.boatinternational.com/yachts/the-superyacht-directory/christina-o--44455,Canadian Vickers, 99.15m , 1943 , 20kts , 18kts , 12000nm , 11.13m , 36 , 36 
I Dynasty,http://www.boatinternational.com/yachts/the-superyacht-directory/i-dynasty--39299,Peterswerft - Kusch, 100.80m , 2015 , 17kts , 14kts ,, 16.0m ,, 30 
Attessa IV,http://www.boatinternational.com/yachts/the-superyacht-directory/attessa-iv--63765,Hayashikane, 100.89m , 1999 , 23kts , 21kts , 6370nm , 12.8m , 26 , 21 
Symphony,http://www.boatinternational.com/yachts/the-superyacht-directory/symphony--57133,Feadship, 101.50m , 2015 , 22kts ,, 5000nm , 14.1m , 20 ,
Amadea,http://www.boatinternational.com/yachts/the-superyacht-directory/amadea--87271,Lurssen, 104.00m , 2017 ,,,, 17.0m ,,
Loaloat Al-Behar,http://www.boatinternational.com/yachts/the-superyacht-directory/loaloat-al-behar--54079,Picchiotti, 103.85m , 1982 , 18kts , 16kts ,, 16.25m ,, 70 
Quantum Blue,http://www.boatinternational.com/yachts/the-superyacht-directory/quantum-blue--81257,Lurssen, 104.00m , 2014 ,,,, 16.8m ,,
Lady Moura,http://www.boatinternational.com/yachts/the-superyacht-directory/lady-moura--73819,Blohm & Voss, 104.85m , 1990 , 22kts , 20kts ,, 19.0m ,, 61 
Ulysses,http://www.boatinternational.com/yachts/the-superyacht-directory/ulysses--39279,Kleven, 107.40m , 2015 , 16kts , 15kts , 8500nm , 18.0m , 30 , 30 
Radiant,http://www.boatinternational.com/yachts/the-superyacht-directory/radiant--60543,Lurssen, 110.00m , 2009 , 21kts , 16kts ,, 16.3m ,,
Ona,http://www.boatinternational.com/yachts/the-superyacht-directory/dilbar-ii--60547,Lurssen, 110.00m , 2008 , 21kts , 18kts ,, 16.3m , 16 , 20 
Le Grand Bleu,http://www.boatinternational.com/yachts/the-superyacht-directory/le-grand-bleu--73657,Bremer Vulkan, 112.80m , 2000 , 17kts , 15kts ,, 17.68m ,, 35 
Pelorus,http://www.boatinternational.com/yachts/the-superyacht-directory/pelorus--60569,Lurssen, 114.50m , 2003 , 20kts , 18kts , 6000nm , 17.2m , 18 , 44 
Luna,http://www.boatinternational.com/yachts/the-superyacht-directory/luna--60695,Lloyd Werft, 115.00m , 2010 , 22kts ,,, 18.0m ,,
Issham Al Baher,http://www.boatinternational.com/yachts/the-superyacht-directory/issham-al-baher--63375,Hellenic, 115.76m , 1973 , 14kts , 12kts ,, 14.45m , 14 , 17 
Atlantis II,http://www.boatinternational.com/yachts/the-superyacht-directory/atlantis-ii--63377,Hellenic, 115.76m , 1981 , 14kts , 12kts ,, 14.45m , 26 , 17 
Turama,http://www.boatinternational.com/yachts/the-superyacht-directory/turama--41501,Rauma-Repola, 116.40m , 1990 , 18kts , 15kts ,, 17.22m , 54 , 60 
Motor Yacht A,http://www.boatinternational.com/yachts/the-superyacht-directory/a--73827,Blohm & Voss, 119.00m , 2008 , 23kts , 19kts , 6541nm , 18.87m , 14 , 35 
Alexander,http://www.boatinternational.com/yachts/the-superyacht-directory/alexander--46985,Lubecker Flender-Werke, 121.95m , 1965 , 18kts , 16kts , 4100nm , 16.9m , 54 , 62 
Golden Odyssey,http://www.boatinternational.com/yachts/the-superyacht-directory/golden-odyssey--81627,Lurssen, 123.20m , 2015 ,,,,,,
Savarona,http://www.boatinternational.com/yachts/the-superyacht-directory/savarona--43461,Blohm & Voss, 135.94m , 1931 , 18kts , 15kts , 9000nm , 16.12m , 34 , 54 
Katara,http://www.boatinternational.com/yachts/the-superyacht-directory/katara--60549,Lurssen, 124.40m , 2010 ,,,, 19.5m ,,
Maryah,http://www.boatinternational.com/yachts/the-superyacht-directory/maryah--50747,Elefsis Shipyard, 125.00m , 2014 ,,,, 17.0m , 54 ,
Octopus,http://www.boatinternational.com/yachts/the-superyacht-directory/octopus--60579,Lurssen, 126.19m , 2003 , 20kts , 17kts , 8000nm , 21.0m , 22 , 50 
Al Mirqab,http://www.boatinternational.com/yachts/the-superyacht-directory/al-mirqab--54129,Peterswerft - Kusch, 133.00m , 2008 , 20kts , 17kts ,, 19.5m , 36 ,
Serene,http://www.boatinternational.com/yachts/the-superyacht-directory/serene--66085,Fincantieri, 133.90m , 2011 , 20kts , 15kts , 6000nm , 18.6m , 24 , 52 
Rising Sun’s,http://www.boatinternational.com/yachts/the-superyacht-directory/rising-sun--60567,Lurssen, 138.01m , 2005 , 28kts , 26kts ,, 19.0m , 18 , 45 
Al Salamah,http://www.boatinternational.com/yachts/the-superyacht-directory/al-salamah--60587,Lurssen, 139.29m , 1999 , 21kts , 17kts ,, 23.5m ,, 96 
Ocean Victory,http://www.boatinternational.com/yachts/the-superyacht-directory/ocean-victory--56971,Fincantieri, 140.00m , 2014 ,,,, 20.0m ,,
Yas,http://www.boatinternational.com/yachts/the-superyacht-directory/yas--68103,De Schelde, 141.00m , 1977 , 30kts , 25kts ,, 14.6m ,,
Sailing Yacht A,http://www.boatinternational.com/yachts/the-superyacht-directory/sailing-yacht-a--39349,Nobiskrug, 142.81m , 2017 , 21kts , 16kts , 5320nm , 24.88m ,, 54 
El _Mahroussa_,http://www.boatinternational.com/yachts/the-superyacht-directory/el-mahroussa--52669,Samuda, 150.57m , 1865 , 13kts , 10kts ,, 12.98m ,, 38 
Prince Abdulaziz,http://www.boatinternational.com/yachts/the-superyacht-directory/prince-abdulaziz--63357,Helsingor Vaerft, 147.01m , 1984 , 22kts , 18kts , 5000nm , 18.3m , 64 , 65 
Topaz,http://www.boatinternational.com/yachts/the-superyacht-directory/topaz--58015,Lurssen, 147.25m , 2012 ,,,, 21.5m ,,
Al Saïd,http://www.boatinternational.com/yachts/the-superyacht-directory/al-said--60555,Lurssen, 155.00m , 2008 ,,,, 24.0m ,, 200 
Dilbar,http://www.boatinternational.com/yachts/the-superyacht-directory/omar--81557,Lurssen, 156.00m , 2016 , 22kts ,,, 23.5m ,,
Dubai,http://www.boatinternational.com/yachts/the-superyacht-directory/dubai--73829,Platinum, 162.00m , 2006 , 26kts , 22kts ,, 22.0m , 48 , 88 
Eclipse,http://www.boatinternational.com/yachts/the-superyacht-directory/eclipse--73837,Blohm & Voss, 162.50m , 2010 , 21kts , 20kts , 6000nm , 22.0m , 36 , 66 
Azzam,http://www.boatinternational.com/yachts/the-superyacht-directory/azzam--57571,Lurssen, 180.61m , 2013 , 31kts ,,, 20.0m ,,
